STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sector,Sector,cofog99,Classification of the functions of government (COFOG 1999),na_item,National accounts indicator (ESA 2010),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,DK,Denmark,2017,,148947.6,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,DK,Denmark,2018,,152779.3,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,DK,Denmark,2019,,153678.8,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,DK,Denmark,2020,,166482.5,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,DK,Denmark,2021,,170648.6,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,DK,Denmark,2022,,171594.4,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,DK,Denmark,2023,,177351.5,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,EA19,Euro area - 19 countries  (2015-2022),2014,,5084428.2,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,EA19,Euro area - 19 countries  (2015-2022),2015,,5162586.4,,,,,
dataflow,ESTAT:GOV_10A_EXP(1.0),General government expenditure by function (COFOG),A,Annual,MIO_EUR,Million euro,S13,General government,TOTAL,Total,TE,Total general government expenditure,EA19,Euro area - 19 countries  (2015-2022),2016,,5226486.8,,,,,
